year,month,L,M,S,-3 SD,-2 SD,-1 SD,median,1 SD,2 SD,3 SD
5,1,61,-0.7387,15.2641,0.08390,12.1,13.0,14.1,15.3,16.6,18.3,20.2
5,2,62,-0.7621,15.2616,0.08414,12.1,13.0,14.1,15.3,16.6,18.3,20.2
5,3,63,-0.7856,15.2604,0.08439,12.1,13.0,14.1,15.3,16.7,18.3,20.2
5,4,64,-0.8089,15.2605,0.08464,12.1,13.0,14.1,15.3,16.7,18.3,20.3
5,5,65,-0.8322,15.2619,0.08490,12.1,13.0,14.1,15.3,16.7,18.3,20.3
5,6,66,-0.8554,15.2645,0.08516,12.1,13.0,14.1,15.3,16.7,18.4,20.4
5,7,67,-0.8785,15.2684,0.08543,12.1,13.0,14.1,15.3,16.7,18.4,20.4
5,8,68,-0.9015,15.2737,0.08570,12.1,13.0,14.1,15.3,16.7,18.4,20.5
5,9,69,-0.9243,15.2801,0.08597,12.1,13.0,14.1,15.3,16.7,18.4,20.5
5,10,70,-0.9471,15.2877,0.08625,12.1,13.0,14.1,15.3,16.7,18.5,20.6
5,11,71,-0.9697,15.2965,0.08653,12.1,13.0,14.1,15.3,16.7,18.5,20.6
6,0,72,-0.9921,15.3062,0.08682,12.1,13.0,14.1,15.3,16.8,18.5,20.7
6,1,73,-1.0144,15.3169,0.08711,12.1,13.0,14.1,15.3,16.8,18.6,20.8
6,2,74,-1.0365,15.3285,0.08741,12.2,13.1,14.1,15.3,16.8,18.6,20.8
6,3,75,-1.0584,15.3408,0.08771,12.2,13.1,14.1,15.3,16.8,18.6,20.9
6,4,76,-1.0801,15.3540,0.08802,12.2,13.1,14.1,15.4,16.8,18.7,21.0
6,5,77,-1.1017,15.3679,0.08833,12.2,13.1,14.1,15.4,16.9,18.7,21.0
6,6,78,-1.1230,15.3825,0.08865,12.2,13.1,14.1,15.4,16.9,18.7,21.1
6,7,79,-1.1441,15.3978,0.08898,12.2,13.1,14.1,15.4,16.9,18.8,21.2
6,8,80,-1.1649,15.4137,0.08931,12.2,13.1,14.2,15.4,16.9,18.8,21.3
6,9,81,-1.1856,15.4302,0.08964,12.2,13.1,14.2,15.4,17.0,18.9,21.3
6,10,82,-1.2060,15.4473,0.08998,12.2,13.1,14.2,15.4,17.0,18.9,21.4
6,11,83,-1.2261,15.4650,0.09033,12.2,13.1,14.2,15.5,17.0,19.0,21.5
7,0,84,-1.2460,15.4832,0.09068,12.3,13.1,14.2,15.5,17.0,19.0,21.6
7,1,85,-1.2656,15.5019,0.09103,12.3,13.2,14.2,15.5,17.1,19.1,21.7
7,2,86,-1.2849,15.5210,0.09139,12.3,13.2,14.2,15.5,17.1,19.1,21.8
7,3,87,-1.3040,15.5407,0.09176,12.3,13.2,14.3,15.5,17.1,19.2,21.9
7,4,88,-1.3228,15.5608,0.09213,12.3,13.2,14.3,15.6,17.2,19.2,22.0
7,5,89,-1.3414,15.5814,0.09251,12.3,13.2,14.3,15.6,17.2,19.3,22.0
7,6,90,-1.3596,15.6023,0.09289,12.3,13.2,14.3,15.6,17.2,19.3,22.1
7,7,91,-1.3776,15.6237,0.09327,12.3,13.2,14.3,15.6,17.3,19.4,22.2
7,8,92,-1.3953,15.6455,0.09366,12.3,13.2,14.3,15.6,17.3,19.4,22.4
7,9,93,-1.4126,15.6677,0.09406,12.4,13.3,14.3,15.7,17.3,19.5,22.5
7,10,94,-1.4297,15.6903,0.09445,12.4,13.3,14.4,15.7,17.4,19.6,22.6
7,11,95,-1.4464,15.7133,0.09486,12.4,13.3,14.4,15.7,17.4,19.6,22.7
8,0,96,-1.4629,15.7368,0.09526,12.4,13.3,14.4,15.7,17.4,19.7,22.8
8,1,97,-1.4790,15.7606,0.09567,12.4,13.3,14.4,15.8,17.5,19.7,22.9
8,2,98,-1.4947,15.7848,0.09609,12.4,13.3,14.4,15.8,17.5,19.8,23.0
8,3,99,-1.5101,15.8094,0.09651,12.4,13.3,14.4,15.8,17.5,19.9,23.1
8,4,100,-1.5252,15.8344,0.09693,12.4,13.4,14.5,15.8,17.6,19.9,23.3
8,5,101,-1.5399,15.8597,0.09735,12.5,13.4,14.5,15.9,17.6,20.0,23.4
8,6,102,-1.5542,15.8855,0.09778,12.5,13.4,14.5,15.9,17.7,20.1,23.5
8,7,103,-1.5681,15.9116,0.09821,12.5,13.4,14.5,15.9,17.7,20.1,23.6
8,8,104,-1.5817,15.9381,0.09864,12.5,13.4,14.5,15.9,17.7,20.2,23.8
8,9,105,-1.5948,15.9651,0.09907,12.5,13.4,14.6,16.0,17.8,20.3,23.9
8,10,106,-1.6076,15.9925,0.09951,12.5,13.5,14.6,16.0,17.8,20.3,24.0
8,11,107,-1.6199,16.0205,0.09994,12.5,13.5,14.6,16.0,17.9,20.4,24.2
9,0,108,-1.6318,16.0490,0.10038,12.6,13.5,14.6,16.0,17.9,20.5,24.3
9,1,109,-1.6433,16.0781,0.10082,12.6,13.5,14.6,16.1,18.0,20.5,24.4
9,2,110,-1.6544,16.1078,0.10126,12.6,13.5,14.7,16.1,18.0,20.6,24.6
9,3,111,-1.6651,16.1381,0.10170,12.6,13.5,14.7,16.1,18.0,20.7,24.7
9,4,112,-1.6753,16.1692,0.10214,12.6,13.6,14.7,16.2,18.1,20.8,24.9
9,5,113,-1.6851,16.2009,0.10259,12.6,13.6,14.7,16.2,18.1,20.8,25.0
9,6,114,-1.6944,16.2333,0.10303,12.7,13.6,14.8,16.2,18.2,20.9,25.1
9,7,115,-1.7032,16.2665,0.10347,12.7,13.6,14.8,16.3,18.2,21.0,25.3
9,8,116,-1.7116,16.3004,0.10391,12.7,13.6,14.8,16.3,18.3,21.1,25.5
9,9,117,-1.7196,16.3351,0.10435,12.7,13.7,14.8,16.3,18.3,21.2,25.6
9,10,118,-1.7271,16.3704,0.10478,12.7,13.7,14.9,16.4,18.4,21.2,25.8
9,11,119,-1.7341,16.4065,0.10522,12.8,13.7,14.9,16.4,18.4,21.3,25.9
10,0,120,-1.7407,16.4433,0.10566,12.8,13.7,14.9,16.4,18.5,21.4,26.1
10,1,121,-1.7468,16.4807,0.10609,12.8,13.8,15.0,16.5,18.5,21.5,26.2
10,2,122,-1.7525,16.5189,0.10652,12.8,13.8,15.0,16.5,18.6,21.6,26.4
10,3,123,-1.7578,16.5578,0.10695,12.8,13.8,15.0,16.6,18.6,21.7,26.6
10,4,124,-1.7626,16.5974,0.10738,12.9,13.8,15.0,16.6,18.7,21.7,26.7
10,5,125,-1.7670,16.6376,0.10780,12.9,13.9,15.1,16.6,18.8,21.8,26.9
10,6,126,-1.7710,16.6786,0.10823,12.9,13.9,15.1,16.7,18.8,21.9,27.0
10,7,127,-1.7745,16.7203,0.10865,12.9,13.9,15.1,16.7,18.9,22.0,27.2
10,8,128,-1.7777,16.7628,0.10906,13.0,13.9,15.2,16.8,18.9,22.1,27.4
10,9,129,-1.7804,16.8059,0.10948,13.0,14.0,15.2,16.8,19.0,22.2,27.5
10,10,130,-1.7828,16.8497,0.10989,13.0,14.0,15.2,16.9,19.0,22.3,27.7
10,11,131,-1.7847,16.8941,0.11030,13.0,14.0,15.3,16.9,19.1,22.4,27.9
11,0,132,-1.7862,16.9392,0.11070,13.1,14.1,15.3,16.9,19.2,22.5,28.0
11,1,133,-1.7873,16.9850,0.11110,13.1,14.1,15.3,17.0,19.2,22.5,28.2
11,2,134,-1.7881,17.0314,0.11150,13.1,14.1,15.4,17.0,19.3,22.6,28.4
11,3,135,-1.7884,17.0784,0.11189,13.1,14.1,15.4,17.1,19.3,22.7,28.5
11,4,136,-1.7884,17.1262,0.11228,13.2,14.2,15.5,17.1,19.4,22.8,28.7
11,5,137,-1.7880,17.1746,0.11266,13.2,14.2,15.5,17.2,19.5,22.9,28.8
11,6,138,-1.7873,17.2236,0.11304,13.2,14.2,15.5,17.2,19.5,23.0,29.0
11,7,139,-1.7861,17.2734,0.11342,13.2,14.3,15.6,17.3,19.6,23.1,29.2
11,8,140,-1.7846,17.3240,0.11379,13.3,14.3,15.6,17.3,19.7,23.2,29.3
11,9,141,-1.7828,17.3752,0.11415,13.3,14.3,15.7,17.4,19.7,23.3,29.5
11,10,142,-1.7806,17.4272,0.11451,13.3,14.4,15.7,17.4,19.8,23.4,29.6
11,11,143,-1.7780,17.4799,0.11487,13.4,14.4,15.7,17.5,19.9,23.5,29.8
12,0,144,-1.7751,17.5334,0.11522,13.4,14.5,15.8,17.5,19.9,23.6,30.0
12,1,145,-1.7719,17.5877,0.11556,13.4,14.5,15.8,17.6,20.0,23.7,30.1
12,2,146,-1.7684,17.6427,0.11590,13.5,14.5,15.9,17.6,20.1,23.8,30.3
12,3,147,-1.7645,17.6985,0.11623,13.5,14.6,15.9,17.7,20.2,23.9,30.4
12,4,148,-1.7604,17.7551,0.11656,13.5,14.6,16.0,17.8,20.2,24.0,30.6
12,5,149,-1.7559,17.8124,0.11688,13.6,14.6,16.0,17.8,20.3,24.1,30.7
12,6,150,-1.7511,17.8704,0.11720,13.6,14.7,16.1,17.9,20.4,24.2,30.9
12,7,151,-1.7461,17.9292,0.11751,13.6,14.7,16.1,17.9,20.4,24.3,31.0
12,8,152,-1.7408,17.9887,0.11781,13.7,14.8,16.2,18.0,20.5,24.4,31.1
12,9,153,-1.7352,18.0488,0.11811,13.7,14.8,16.2,18.0,20.6,24.5,31.3
12,10,154,-1.7293,18.1096,0.11841,13.7,14.8,16.3,18.1,20.7,24.6,31.4
12,11,155,-1.7232,18.1710,0.11869,13.8,14.9,16.3,18.2,20.8,24.7,31.6
13,0,156,-1.7168,18.2330,0.11898,13.8,14.9,16.4,18.2,20.8,24.8,31.7
13,1,157,-1.7102,18.2955,0.11925,13.8,15.0,16.4,18.3,20.9,24.9,31.8
13,2,158,-1.7033,18.3586,0.11952,13.9,15.0,16.5,18.4,21.0,25.0,31.9
13,3,159,-1.6962,18.4221,0.11979,13.9,15.1,16.5,18.4,21.1,25.1,32.1
13,4,160,-1.6888,18.4860,0.12005,14.0,15.1,16.6,18.5,21.1,25.2,32.2
13,5,161,-1.6811,18.5502,0.12030,14.0,15.2,16.6,18.6,21.2,25.2,32.3
13,6,162,-1.6732,18.6148,0.12055,14.0,15.2,16.7,18.6,21.3,25.3,32.4
13,7,163,-1.6651,18.6795,0.12079,14.1,15.2,16.7,18.7,21.4,25.4,32.6
13,8,164,-1.6568,18.7445,0.12102,14.1,15.3,16.8,18.7,21.5,25.5,32.7
13,9,165,-1.6482,18.8095,0.12125,14.1,15.3,16.8,18.8,21.5,25.6,32.8
13,10,166,-1.6394,18.8746,0.12148,14.2,15.4,16.9,18.9,21.6,25.7,32.9
13,11,167,-1.6304,18.9398,0.12170,14.2,15.4,17.0,18.9,21.7,25.8,33.0
14,0,168,-1.6211,19.0050,0.12191,14.3,15.5,17.0,19.0,21.8,25.9,33.1
14,1,169,-1.6116,19.0701,0.12212,14.3,15.5,17.1,19.1,21.8,26.0,33.2
14,2,170,-1.6020,19.1351,0.12233,14.3,15.6,17.1,19.1,21.9,26.1,33.3
14,3,171,-1.5921,19.2000,0.12253,14.4,15.6,17.2,19.2,22.0,26.2,33.4
14,4,172,-1.5821,19.2648,0.12272,14.4,15.7,17.2,19.3,22.1,26.3,33.5
14,5,173,-1.5719,19.3294,0.12291,14.5,15.7,17.3,19.3,22.2,26.4,33.5
14,6,174,-1.5615,19.3937,0.12310,14.5,15.7,17.3,19.4,22.2,26.5,33.6
14,7,175,-1.5510,19.4578,0.12328,14.5,15.8,17.4,19.5,22.3,26.5,33.7
14,8,176,-1.5403,19.5217,0.12346,14.6,15.8,17.4,19.5,22.4,26.6,33.8
14,9,177,-1.5294,19.5853,0.12363,14.6,15.9,17.5,19.6,22.5,26.7,33.9
14,10,178,-1.5185,19.6486,0.12380,14.6,15.9,17.5,19.6,22.5,26.8,33.9
14,11,179,-1.5074,19.7117,0.12396,14.7,16.0,17.6,19.7,22.6,26.9,34.0
15,0,180,-1.4961,19.7744,0.12412,14.7,16.0,17.6,19.8,22.7,27.0,34.1
15,1,181,-1.4848,19.8367,0.12428,14.7,16.1,17.7,19.8,22.8,27.1,34.1
15,2,182,-1.4733,19.8987,0.12443,14.8,16.1,17.8,19.9,22.8,27.1,34.2
15,3,183,-1.4617,19.9603,0.12458,14.8,16.1,17.8,20.0,22.9,27.2,34.3
15,4,184,-1.4500,20.0215,0.12473,14.8,16.2,17.9,20.0,23.0,27.3,34.3
15,5,185,-1.4382,20.0823,0.12487,14.9,16.2,17.9,20.1,23.0,27.4,34.4
15,6,186,-1.4263,20.1427,0.12501,14.9,16.3,18.0,20.1,23.1,27.4,34.5
15,7,187,-1.4143,20.2026,0.12514,15.0,16.3,18.0,20.2,23.2,27.5,34.5
15,8,188,-1.4022,20.2621,0.12528,15.0,16.3,18.1,20.3,23.3,27.6,34.6
15,9,189,-1.3900,20.3211,0.12541,15.0,16.4,18.1,20.3,23.3,27.7,34.6
15,10,190,-1.3777,20.3796,0.12554,15.0,16.4,18.2,20.4,23.4,27.7,34.7
15,11,191,-1.3653,20.4376,0.12567,15.1,16.5,18.2,20.4,23.5,27.8,34.7
16,0,192,-1.3529,20.4951,0.12579,15.1,16.5,18.2,20.5,23.5,27.9,34.8
16,1,193,-1.3403,20.5521,0.12591,15.1,16.5,18.3,20.6,23.6,27.9,34.8
16,2,194,-1.3277,20.6085,0.12603,15.2,16.6,18.3,20.6,23.7,28.0,34.8
16,3,195,-1.3149,20.6644,0.12615,15.2,16.6,18.4,20.7,23.7,28.1,34.9
16,4,196,-1.3021,20.7197,0.12627,15.2,16.7,18.4,20.7,23.8,28.1,34.9
16,5,197,-1.2892,20.7745,0.12638,15.3,16.7,18.5,20.8,23.8,28.2,35.0
16,6,198,-1.2762,20.8287,0.12650,15.3,16.7,18.5,20.8,23.9,28.3,35.0
16,7,199,-1.2631,20.8824,0.12661,15.3,16.8,18.6,20.9,24.0,28.3,35.0
16,8,200,-1.2499,20.9355,0.12672,15.3,16.8,18.6,20.9,24.0,28.4,35.1
16,9,201,-1.2366,20.9881,0.12683,15.4,16.8,18.7,21.0,24.1,28.5,35.1
16,10,202,-1.2233,21.0400,0.12694,15.4,16.9,18.7,21.0,24.2,28.5,35.1
16,11,203,-1.2098,21.0914,0.12704,15.4,16.9,18.7,21.1,24.2,28.6,35.2
17,0,204,-1.1962,21.1423,0.12715,15.4,16.9,18.8,21.1,24.3,28.6,35.2
17,1,205,-1.1826,21.1925,0.12726,15.5,17.0,18.8,21.2,24.3,28.7,35.2
17,2,206,-1.1688,21.2423,0.12736,15.5,17.0,18.9,21.2,24.4,28.7,35.2
17,3,207,-1.1550,21.2914,0.12746,15.5,17.0,18.9,21.3,24.4,28.8,35.3
17,4,208,-1.1410,21.3400,0.12756,15.5,17.1,18.9,21.3,24.5,28.9,35.3
17,5,209,-1.1270,21.3880,0.12767,15.6,17.1,19.0,21.4,24.5,28.9,35.3
17,6,210,-1.1129,21.4354,0.12777,15.6,17.1,19.0,21.4,24.6,29.0,35.3
17,7,211,-1.0986,21.4822,0.12787,15.6,17.1,19.1,21.5,24.7,29.0,35.4
17,8,212,-1.0843,21.5285,0.12797,15.6,17.2,19.1,21.5,24.7,29.1,35.4
17,9,213,-1.0699,21.5742,0.12807,15.6,17.2,19.1,21.6,24.8,29.1,35.4
17,10,214,-1.0553,21.6193,0.12816,15.7,17.2,19.2,21.6,24.8,29.2,35.4
17,11,215,-1.0407,21.6638,0.12826,15.7,17.3,19.2,21.7,24.9,29.2,35.4
18,0,216,-1.0260,21.7077,0.12836,15.7,17.3,19.2,21.7,24.9,29.2,35.4
18,1,217,-1.0112,21.7510,0.12845,15.7,17.3,19.3,21.8,25.0,29.3,35.4
18,2,218,-0.9962,21.7937,0.12855,15.7,17.3,19.3,21.8,25.0,29.3,35.5
18,3,219,-0.9812,21.8358,0.12864,15.7,17.4,19.3,21.8,25.1,29.4,35.5
18,4,220,-0.9661,21.8773,0.12874,15.8,17.4,19.4,21.9,25.1,29.4,35.5
18,5,221,-0.9509,21.9182,0.12883,15.8,17.4,19.4,21.9,25.1,29.5,35.5
18,6,222,-0.9356,21.9585,0.12893,15.8,17.4,19.4,22.0,25.2,29.5,35.5
18,7,223,-0.9202,21.9982,0.12902,15.8,17.5,19.5,22.0,25.2,29.5,35.5
18,8,224,-0.9048,22.0374,0.12911,15.8,17.5,19.5,22.0,25.3,29.6,35.5
18,9,225,-0.8892,22.0760,0.12920,15.8,17.5,19.5,22.1,25.3,29.6,35.5
18,10,226,-0.8735,22.1140,0.12930,15.8,17.5,19.6,22.1,25.4,29.6,35.5
18,11,227,-0.8578,22.1514,0.12939,15.8,17.5,19.6,22.2,25.4,29.7,35.5
19,0,228,-0.8419,22.1883,0.12948,15.9,17.6,19.6,22.2,25.4,29.7,35.5